fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-08
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
gmx.biz;mail.gmx.net:465;%EMAILADDRESS%
gmx.ca;mail.gmx.com:465;%EMAILADDRESS%
freenet.de;mx.freenet.de:587;%EMAILADDRESS%
gandi.net;mail.gandi.net:465,mail.gandi.net:587;%EMAILADDRESS%
gallatinriver.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
gmx.com;mail.gmx.com:465;%EMAILADDRESS%
germanymail.com;smtp.mail.com:465;%EMAILADDRESS%
gmx.ch;mail.gmx.net:465;%EMAILADDRESS%
gmx.cn;mail.gmx.com:465;%EMAILADDRESS%
giallo.it;smtp.libero.it:465;%EMAILADDRESS%
gmx.es;mail.gmx.com:465;%EMAILADDRESS%
gmx.de;mail.gmx.net:465;%EMAILADDRESS%
gmx.fr;mail.gmx.com:465;%EMAILADDRESS%
gmail.plala.or.jp;gmail.mail.plala.or.jp:587;%EMAILLOCALPART%
gmx.com.my;mail.gmx.com:465;%EMAILADDRESS%
gmx.li;mail.gmx.com:465;%EMAILADDRESS%
gmx.com.tr;mail.gmx.com:465;%EMAILADDRESS%
gmx.ph;mail.gmx.com:465;%EMAILADDRESS%
gmx.org;mail.gmx.net:465;%EMAILADDRESS%
gmx.net;mail.gmx.net:465;%EMAILADDRESS%
gmx.tm;mail.gmx.com:465;%EMAILADDRESS%
gmx.com.br;mail.gmx.com:465;%EMAILADDRESS%
gmx.eu;mail.gmx.net:465;%EMAILADDRESS%
go2.pl;poczta.o2.pl:465;%EMAILLOCALPART%
gmx.hk;mail.gmx.com:465;%EMAILADDRESS%
gmx.it;mail.gmx.com:465;%EMAILADDRESS%
gmx.info;mail.gmx.net:465;%EMAILADDRESS%
google.com;smtp.gmail.com:465,smtp-relay.gmail.com:465;%EMAILADDRESS%
googlemail.com;smtp.gmail.com:465,smtp-relay.gmail.com:465;%EMAILADDRESS%
goneo.de;smtp.goneo.de:465;%EMAILADDRESS%
gmx.ie;mail.gmx.com:465;%EMAILADDRESS%
goo.jp;smtp.mail.goo.ne.jp:587;%EMAILLOCALPART%
gransy.com;smtp.gransy.com:465,firemni.gransy.com:587;%EMAILADDRESS%
gmx.sg;mail.gmx.com:465;%EMAILADDRESS%
gmx.se;mail.gmx.com:465;%EMAILADDRESS%
gmx.pt;mail.gmx.com:465;%EMAILADDRESS%
gmx.ru;mail.gmx.com:465;%EMAILADDRESS%
gmx.us;mail.gmx.com:465;%EMAILADDRESS%
grin.dk;mail.telenor.dk:587;%EMAILADDRESS%
gulftel.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
go.tvm.ne.jp;go.tvm.ne.jp:25;%EMAILLOCALPART%
grape.plala.or.jp;grape.mail.plala.or.jp:587;%EMAILLOCALPART%
go4more.de;smtp.1und1.de:587;%EMAILADDRESS%
gmx.tw;mail.gmx.com:465;%EMAILADDRESS%
gason.dk;mail.telenor.dk:587;%EMAILADDRESS%
hardworking.dk;mail.telenor.dk:587;%EMAILADDRESS%
hal.ne.jp;mail.hal.ne.jp:587;%EMAILLOCALPART%
gray.plala.or.jp;gray.mail.plala.or.jp:587;%EMAILLOCALPART%
hana.or.jp;mail.hana.or.jp:587,www2.hana.or.jp:587;%EMAILLOCALPART%
graphic-designer.com;smtp.mail.com:465;%EMAILADDRESS%
hairdresser.net;smtp.mail.com:465;%EMAILADDRESS%
heaven.dk;mail.telenor.dk:587;%EMAILADDRESS%
home.nl;smtp.ziggo.nl:587,tracker.data.ziggo.nl:587;%EMAILADDRESS%
hackermail.com;smtp.mail.com:465;%EMAILADDRESS%
grov.dk;mail.telenor.dk:587;%EMAILADDRESS%
grics.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
hockeymail.com;smtp.mail.com:465;%EMAILADDRESS%
hilarious.com;smtp.mail.com:465;%EMAILADDRESS%
gmx.co.uk;mail.gmx.com:465;%EMAILADDRESS%
hahah.nl;smtp.ziggo.nl:587,tracker.data.ziggo.nl:587;%EMAILADDRESS%
